ID	Prolif_1	Prolif_2	Prolif_3	Senes_1	Senes_2	Senes_3	Senes_MtD_1	Senes_MtD_2	Senes_MtD_3
ENSG00000240342	1652.51	1989.01	1810.85	1182.43	1535.51	1073.95	1291.57	1529.29	1587.86
ENSG00000135069	3800.77	3445.15	3719.2	1148.2	1195.23	1362.73	1675.86	1821.83	1983.55
ENSG00000237668	12.91	21.1	20.89	11.41	26.58	16.44	5.78	7.48	6.78
ENSG00000237669	0	0	1.16	2.07	2.13	2.06	0.96	2.99	0
ENSG00000157429	50.35	51	46.43	34.23	44.66	27.75	34.67	44.89	44.91
ENSG00000257246	5.16	0	2.32	2.07	1.06	4.11	0.96	0.75	0.85
ENSG00000082701	3423.79	3206.86	3090.05	2999.64	1981.06	3136.54	6635.04	5326.31	5844.74
ENSG00000147697	2.58	0.88	2.32	1.04	6.38	2.06	0.96	2.99	2.54
ENSG00000188352	2234.76	2295.89	2269.36	2150.16	1801.35	2289.72	1247.26	1072.15	1101.5
ENSG00000258204	3.87	4.4	4.64	0	1.06	0	3.85	0	3.39
ENSG00000136002	24.53	23.74	30.18	28	22.33	30.83	6.74	6.73	14.4
ENSG00000136003	2038.52	2203.56	2043.01	4272.31	5121.2	4077.91	2930.82	3252.35	3056.24
ENSG00000259847	5.16	2.64	3.48	0	0	1.03	0.96	0.75	0.85
ENSG00000240038	69.72	101.12	117.24	130.69	165.89	129.49	104.98	138.41	114.39
ENSG00000141699	1362.03	1384.92	1319.83	2277.73	2810.49	2505.53	2142.98	2124.84	2016.6
ENSG00000141698	1284.57	1355.02	1287.33	1163.76	1267.54	1094.5	1375.36	1583.16	1440.43
ENSG00000069966	777.19	766.76	841.58	677.3	628.45	702.95	831.19	782.6	805.79
ENSG00000179031	1.29	2.64	3.48	1.04	3.19	3.08	0	0.75	1.69
ENSG00000240032	3.87	5.28	4.64	13.48	18.08	14.39	148.32	109.98	147.43
ENSG00000240036	1.29	7.91	6.96	4.15	6.38	4.11	4.82	4.49	3.39
ENSG00000172296	149.76	144.21	145.1	143.14	124.41	156.21	424.74	308.25	297.41
ENSG00000172292	356.32	346.45	383.06	200.18	88.26	220.96	451.71	259.62	331.3
ENSG00000259456	42.6	38.69	41.79	37.34	53.17	39.05	43.34	40.4	43.21
ENSG00000118873	2406.46	2083.97	2247.31	2175.05	1463.2	2438.73	3309.34	2613.4	3034.21
ENSG00000049860	11451.36	11463.61	11354.93	15832.12	21160.02	16493.55	8988.95	9450.3	9750.84
ENSG00000138375	1231.63	1369.97	1340.72	1157.54	1093.15	1171.58	1638.29	1686.4	1583.62
ENSG00000222345	9.04	6.16	8.13	6.22	7.44	8.22	1.93	5.24	4.24
ENSG00000214293	156.21	174.1	171.8	238.56	305.19	224.04	237.89	274.58	254.19
ENSG00000275216	6.46	4.4	4.64	17.63	21.27	11.3	26	32.92	27.11
ENSG00000138378	9.04	6.16	5.8	25.93	34.03	31.86	55.86	41.9	41.52
ENSG00000138379	1.29	0	0	6.22	11.7	15.42	0.96	8.98	1.69
ENSG00000144580	2592.37	2584.3	2466.7	1323.49	1228.19	1236.32	2258.55	2345.55	2369.08
ENSG00000144583	1640.89	1854.47	1600.74	1648.14	1585.49	1799.5	4382.27	4170.37	4374.66
ENSG00000144589	733.3	714	758	867.12	1060.18	806.74	751.25	791.58	855.78
ENSG00000207971	5.16	1.76	3.48	4.15	0	4.11	4.82	1.5	0
ENSG00000101966	2097.91	1875.58	2001.22	1770.53	1278.17	1825.19	2897.11	2314.88	2635.13
ENSG00000225880	7.75	10.55	11.61	14.52	18.08	11.3	8.67	11.22	6.78
ENSG00000141034	528.03	520.55	525.84	647.23	528.5	690.61	1012.26	946.45	1014.23
ENSG00000141030	2996.46	2965.05	2827.71	1739.42	1870.47	1774.84	2698.71	3028.64	2677.5
ENSG00000172878	263.37	282.26	266.98	189.81	213.74	232.26	446.9	439.18	416.03
ENSG00000254702	2.58	2.64	1.16	2.07	0	2.06	0.96	0.75	0
ENSG00000144635	2715.02	2715.32	2778.95	1918.86	1671.62	1804.64	2678.48	2718.9	2655.47
ENSG00000236047	1.29	0	0	3.11	0	0	1.93	2.24	4.24
ENSG00000077157	579.67	497.69	525.84	924.16	653.97	1050.31	598.11	411.5	478.73
